id,hospcode,areacode,date_com,b_year,r1_1,r1_2,r1_3,r1_4,r1_5,r1_6,r1_7,r2_1,r2_2,r3,r4,r5,r6
"297c1cb035778f7b49357693e6867e6c","08262","72070602","202511171636","2568",0,0,0,0,3,0,1,0,0,49,180,0,0
"297c1cb035778f7b49357693e6867e6c","04677","42011002","202511171419","2568",0,0,0,0,0,0,0,0,5,88,17,0,0
"297c1cb035778f7b49357693e6867e6c","07715","67010512","202511171159","2568",0,2,0,0,7,0,0,0,33,84,181,0,4
"297c1cb035778f7b49357693e6867e6c","09440","90010407","202511170445","2568",0,0,0,0,7,0,0,0,18,68,182,0,0
"297c1cb035778f7b49357693e6867e6c","03089","32010201","202511170802","2568",0,0,0,0,130,0,0,0,1,9,11,0,0
"297c1cb035778f7b49357693e6867e6c","04249","40010209","202511180536","2568",0,0,0,0,23,0,1,0,25,134,71,0,0
"297c1cb035778f7b49357693e6867e6c","04489","41010812","202511162255","2568",3,1,0,2,3,0,1,0,16,239,18,0,0
"297c1cb035778f7b49357693e6867e6c","11060","44110102","202511171003","2568",795,19,413,360,844,1,543,38,1533,542,378,0,111
"297c1cb035778f7b49357693e6867e6c","01038","12040603","202511170715","2568",0,0,0,0,39,0,1,0,0,65,68,0,0
"297c1cb035778f7b49357693e6867e6c","06449","55010301","202511180251","2568",0,0,2,0,1,0,1,0,0,12,149,0,0
"297c1cb035778f7b49357693e6867e6c","02876","31010304","202511171004","2568",20,0,13,3,10,0,37,0,354,67,192,0,4
"297c1cb035778f7b49357693e6867e6c","07368","64010203","202511180111","2568",0,0,0,0,3,0,0,0,0,11,57,0,0
"297c1cb035778f7b49357693e6867e6c","05062","44110210","202511171003","2568",1,0,0,0,35,0,13,0,1,64,66,0,0
"297c1cb035778f7b49357693e6867e6c","08011","71010404","202511180245","2568",3,1,0,0,121,0,1,0,15,134,223,0,0
"297c1cb035778f7b49357693e6867e6c","09604","91010202","202511172339","2568",0,0,0,0,1,0,9,0,0,13,5,0,0
"297c1cb035778f7b49357693e6867e6c","06315","53070702","202511171107","2568",0,0,5,1,36,1,0,0,25,73,100,0,9
"297c1cb035778f7b49357693e6867e6c","06341","54011904","202511171007","2568",0,0,0,0,0,0,0,0,0,0,15,0,0
"297c1cb035778f7b49357693e6867e6c","10614","67100204","202511171159","2568",0,0,0,0,5,0,2,0,0,22,8,0,0
"297c1cb035778f7b49357693e6867e6c","03279","33010504","202511180220","2568",3,7,16,0,44,10,40,0,28,209,134,0,0
"297c1cb035778f7b49357693e6867e6c","05022","44081009","202511171003","2568",0,0,0,0,114,0,1,0,0,22,2,0,0
"297c1cb035778f7b49357693e6867e6c","14001","52030701","202511170704","2568",4,1,0,0,11,0,0,0,14,81,6,0,0
"297c1cb035778f7b49357693e6867e6c","06335","54010204","202511171007","2568",0,0,0,1,0,0,0,0,0,4,101,0,0
"297c1cb035778f7b49357693e6867e6c","07732","67011701","202511171159","2568",0,0,0,1,20,0,0,0,24,125,185,0,0
"297c1cb035778f7b49357693e6867e6c","08989","81010313","202511162309","2568",0,0,0,0,0,0,0,0,0,12,25,0,0
"297c1cb035778f7b49357693e6867e6c","03278","33010406","202511180220","2568",2,0,0,0,46,0,22,0,28,225,205,0,0
"297c1cb035778f7b49357693e6867e6c","00933","11010203","202511171855","2568",0,0,0,0,4,0,0,0,0,88,166,0,0
"297c1cb035778f7b49357693e6867e6c","02183","24010204","202511180446","2568",0,0,0,0,4,0,0,0,8,3,96,0,4
"297c1cb035778f7b49357693e6867e6c","02492","27050705","202511170954","2568",0,0,0,0,93,0,2,0,0,61,35,0,0
"297c1cb035778f7b49357693e6867e6c","03096","32010709","202511170802","2568",0,0,0,1,168,0,0,0,6,78,60,0,1
"297c1cb035778f7b49357693e6867e6c","07856","70010305","202511171608","2568",0,0,0,0,3,0,4,0,0,55,136,0,0
"297c1cb035778f7b49357693e6867e6c","09058","82010203","202511172304","2568",0,0,0,0,3,1,0,0,11,55,114,0,0
"297c1cb035778f7b49357693e6867e6c","06118","52010604","202511170704","2568",4,0,0,0,24,0,0,0,14,102,41,0,0
"297c1cb035778f7b49357693e6867e6c","06826","58010203","202511180352","2568",0,0,1,1,35,0,0,0,0,28,145,0,0
"297c1cb035778f7b49357693e6867e6c","05811","50010702","202511152317","2568",0,0,2,2,119,0,13,0,1,35,143,0,0
"297c1cb035778f7b49357693e6867e6c","01678","19010704","202511180225","2568",1,2,0,0,4,0,4,0,10,10,173,0,0
"297c1cb035778f7b49357693e6867e6c","10493","58020205","202511180352","2568",0,1,4,0,11,1,0,0,4,60,21,0,0
"297c1cb035778f7b49357693e6867e6c","06571","56090302","202511171152","2568",0,0,0,0,10,0,0,0,0,70,130,0,25
"297c1cb035778f7b49357693e6867e6c","05595","48010306","202511180414","2568",2,0,0,0,0,0,0,0,0,0,9,0,0
"297c1cb035778f7b49357693e6867e6c","01991","21050707","202511170530","2568",1,1,0,0,7,1,2,0,34,70,94,0,0
"297c1cb035778f7b49357693e6867e6c","01333","14140702","202511171943","2568",0,0,0,1,52,1,12,0,7,68,34,0,0
"297c1cb035778f7b49357693e6867e6c","10703","37010106","202511170732","2568",1668,46,1294,1306,1334,15,1116,2,9681,2997,2442,0,309
"297c1cb035778f7b49357693e6867e6c","11509","53010208","202511171107","2568",70,37,73,321,49,0,201,6,171,533,1600,0,2
"297c1cb035778f7b49357693e6867e6c","09438","90010308","202511170445","2568",7,1,0,0,1,0,3,0,28,5,304,0,0
"297c1cb035778f7b49357693e6867e6c","03824","35010309","202511170806","2568",0,0,0,0,0,0,0,0,1,38,5,0,0
"297c1cb035778f7b49357693e6867e6c","01807","20010702","202511171541","2568",1,0,0,0,0,1,1,0,5,25,23,0,0
"297c1cb035778f7b49357693e6867e6c","07074","61011102","202511180549","2568",1,0,0,0,20,1,1,0,1,10,66,0,0
"297c1cb035778f7b49357693e6867e6c","01253","14070504","202511171943","2568",0,0,0,0,26,0,0,0,4,28,83,0,0
"297c1cb035778f7b49357693e6867e6c","10023","95011001","202511171039","2568",0,0,0,0,14,0,12,0,12,40,15,0,0
"297c1cb035778f7b49357693e6867e6c","07657","66050408","202511180526","2568",0,0,0,0,4,0,0,0,1,33,50,0,0
"297c1cb035778f7b49357693e6867e6c","03487","33160403","202511180220","2568",0,0,0,0,7,0,0,0,0,50,40,0,0
"297c1cb035778f7b49357693e6867e6c","12256","12010200","202511170715","2568",5811,3741,1253,214,251,20,518,22,532,47,180,0,2777
"297c1cb035778f7b49357693e6867e6c","02539","30010504","202511160333","2568",15,0,0,0,15,1,7,10,73,76,120,0,0
"297c1cb035778f7b49357693e6867e6c","02544","30010904","202511160333","2568",1,1,0,0,21,0,0,3,11,24,6,0,1
"297c1cb035778f7b49357693e6867e6c","05812","50010805","202511152317","2568",4,0,3,0,35,0,55,0,12,22,115,0,0
"297c1cb035778f7b49357693e6867e6c","02189","24010808","202511180446","2568",0,0,0,0,0,0,0,0,0,0,27,0,0
"297c1cb035778f7b49357693e6867e6c","07854","70010203","202511171608","2568",0,0,0,0,2,2,1,0,0,30,61,0,0
"297c1cb035778f7b49357693e6867e6c","11088","46140308","202511170452","2568",700,26,539,264,118,0,400,11,1121,838,782,0,2
